clientId,clientName,clientType,rate,location,industry,holding,scale,maturity
C070,C070 Name,A,AAAA,US,LPG,19919329,XXL,M10
C071,C071 Name,A,C,EU,IAT,14031940,XL,M03
C072,C072 Name,I,C,CN,IAT,3294881,S,M03
C073,C073 Name,D,B,CN,LPG,19011288,XL,M09
C074,C074 Name,C,AAAA,IR,MKT,12072072,XL,M01
C075,C075 Name,D,BB,RU,MKT,5541442,S,M06
C076,C076 Name,B,BBBB,TT,SEV,6876721,S,M03
C077,C077 Name,A,C,EU,LPG,2486586,L,M06
C078,C078 Name,A,B,RU,IAT,216662,L,M09
C079,C079 Name,E,B,US,IAT,8457287,M,M06
C080,C080 Name,J,AAAA,TT,SEV,9043542,M,M07
C081,C081 Name,D,BB,TT,MKT,11919646,XL,M08
C082,C082 Name,J,BB,HK,TTT,6900461,S,M07
C083,C083 Name,F,BBB,EU,TTT,5138118,XS,M05
C084,C084 Name,E,AA,AP,ENG,12469906,S,M10
C085,C085 Name,F,BBB,HK,LPG,7282355,L,M01
C086,C086 Name,D,C,AP,TTT,4116423,XS,M01
C087,C087 Name,D,AA,TT,TTT,262416,XL,M05
C088,C088 Name,D,AAA,SD,ENG,15994906,S,M06
C089,C089 Name,E,B,US,ENG,11353431,XL,M04
C090,C090 Name,J,AAA,AP,ENG,10674763,XXL,M04
C091,C091 Name,E,AAAA,RU,SEV,2832088,XL,M09
C092,C092 Name,E,AA,EU,TTT,8489687,XS,M06
C093,C093 Name,F,B,HK,MKT,5733035,L,M02
C094,C094 Name,F,A,AP,LPG,4506734,XL,M07
C095,C095 Name,D,AAA,IR,MKT,10047417,M,M08
C096,C096 Name,E,BB,TT,TTT,6741062,XL,M02
C097,C097 Name,C,AAA,CN,ENG,3415805,XL,M01
C098,C098 Name,D,C,SD,IAT,6174969,XL,M01
C099,C099 Name,D,BBBB,CN,MKT,16439849,M,M09
C100,C100 Name,A,BBBB,SD,MKT,8883067,XXL,M10
